lat,lon,name,category
55.751065,37.5912641,Афанасьева Н.В.,Офис
55.7843337,37.6617732,Нотариус,Офис
55.7154755,37.6110812,Симоновская межрайонная прокуратура,Офис
55.7510308,37.5959143,Билайн,Офис
55.7407959,37.617512,Петровка 38,Офис
55.7218522,37.652097,Topcon Positioning Systems,Офис
55.7513808,37.6792322,Инвент,Офис
55.768844,37.6722486,Ланит,Офис
55.7232483,37.6533733,Главный радиочастотный центр,Офис
55.7315686,37.6983577,X5 Retail Group,Офис
55.74325,37.637747,Государственная классическая академия им. Маймонида,Университет
55.6945741,37.5640736,Softline,Офис
55.7447055,37.5641994,МегаФон,Офис
55.7681749,37.6450564,Советник Права,Офис
55.7484904,37.5842906,Coral Travel,Офис
55.7603421,37.6212011,Высшее театральное училище (институт) имени М. С. Щепкина,Университет
55.7596797,37.6123951,Школа-студия МХАТ,Университет
55.7328116,37.6776434,Библейско-богословский институт святого апостола Андрея,Университет
55.7898106,37.7100689,RuDive,Офис
55.7018601,37.658039,"Аттестационный научно-технический центр ""Эксперт""",Офис
55.7689257,37.6704619,Гудок,Офис
55.7450657,37.7064794,Институт стекла,Офис
55.7343605,37.6645311,Mirantis,Офис
55.7399945,37.6539828,"Бюро переводов ""Алигат""",Офис
55.6918483,37.5726743,BerryBags,Офис
55.7144926,37.6624697,Объединённый военный комиссариат Даниловского района,Офис
55.8115266,37.5778529,Инженерная служба Тимирязевского района,Офис
55.8114095,37.577477,Постоянное представительство Челябинской области при правительстве Российской Федерации,Офис
55.7570757,37.6370694,Карабанов и партнёры,Офис
55.7964887,37.6006114,Samsung R&D Institute,Офис
55.7636942,37.5599414,МТС,Офис
55.762894,37.5646408,T2,Офис
55.740774,37.6246314,Межгосударственный авиационный комитет,Офис
55.7963628,37.5809262,Без названия,Офис
55.7606229,37.6223398,"ФКП ""Росгосцирк""",Офис
55.6915175,37.5749479,Нотариус Щекочихин П. А.,Офис
55.7784129,37.692761,Без названия,Офис
55.7985249,37.5827459,Многофункциональный центр предоставления государственных и муниципальных услуг района Савёловский,Офис
55.7800373,37.5902781,"ООО ""Вайт Смайл""",Офис
55.7942734,37.5754975,Инженерная служба,Офис
55.7273907,37.6471224,"Негосударственный пенсионный фонд ""Промагрофонд""",Офис
55.727362,37.6471734,"Негосударственный пенсионный фонд ""Наследие""",Офис
55.7654583,37.6078103,Билайн,Офис
55.7626043,37.5703789,"Центральный офис продаж ГК ""Пионер""",Офис
55.7616453,37.613188,Condé Nast Россия,Офис
55.7015684,37.5771673,ИНЭУМ им. И. С. Брука,Офис
55.7015921,37.5771394,Центр исследований и разработок МЦСТ,Офис
55.7556468,37.5855626,Институт Сервантеса в Москве,Университет
55.7170127,37.6115529,ФГУП Космическая связь,Офис
55.7347855,37.7098536,Издательство «Перо»,Офис
55.7455909,37.6841571,Без названия,Офис
55.7335238,37.7127648,ООО «Дом каркасный»,Офис
55.6952168,37.5684929,Институт географии РАН,Офис
55.7719266,37.5932975,МТС,Офис
55.7544325,37.5956605,Нотариус Карнаухова А.Э.,Офис
55.7895352,37.7115622,ООО Кема Клаб,Офис
55.7423568,37.5967806,Посольство Кении,Офис
55.780138,37.685547,Многофункциональный центр предоставления государственных и муниципальных услуг Басманного района,Офис
55.7436141,37.6507396,Московский государственный гуманитарный университет им. М. А. Шолохова,Университет
55.7413593,37.6500876,Единая Россия,Офис
55.7402084,37.6497755,Совет ветеранов,Офис
55.7408638,37.6621877,"Администрация ГАУК г. Москвы ""ПКиО ""Таганский""",Офис
55.7389608,37.6524836,Без названия,Офис
55.7359522,37.6533256,Homag,Офис
55.7386591,37.6530874,Без названия,Офис
55.7970699,37.6193318,Вокин Иннокентий Михайлович,Офис
55.7578004,37.633077,Цирк и милосердие,Офис
55.7466939,37.7170679,Московский финансово-юридический университет МФЮА,Университет
55.747014,37.7174864,Московский архитектурно-строительный институт,Университет
55.7480636,37.6551307,Падва и Эпштейн,Офис
55.731773,37.6367298,"АО ""Метрогипротранс""",Офис
55.7472851,37.5884008,Московское агентство недвижимости,Офис
55.7075035,37.7003363,Глория-Холод,Офис
55.7400822,37.6185909,Посольство султаната Оман,Офис
55.7501488,37.6459792,3DPrintus,Офис
55.7679207,37.6057259,МТС,Офис
55.8018765,37.5505275,Юридический центр «ЮрЛекс»,Офис
55.8036816,37.5482932,"НТЦ ""Модуль""",Офис
55.801958,37.5507147,"ЖСК ""Тюльпан-2""",Офис
55.8075503,37.5331373,Инженерная служба района Аэропорт,Офис
55.7995284,37.5500145,Единая Россия,Офис
55.7993796,37.5498446,Совет ветеранов,Офис
55.8195968,37.6439134,Ракурс,Офис
55.765313,37.625907,Театральная жизнь,Офис
55.765518,37.625716,Gala Form,Офис
55.7188155,37.6320249,Федеральная Служба Информации,Офис
55.737623,37.5898761,АЭИ ПРАЙМ,Офис
55.7374962,37.5901711,Р-Спорт,Офис
55.7698707,37.5969736,Интерфакс,Офис
55.7555968,37.5968842,Росбалт,Офис
55.7175939,37.5115742,Институт клинических исследований,Офис
55.7175274,37.5114455,ММС,Офис
55.7859075,37.6356259,Французский визовый центр,Офис
55.765389,37.6332157,Тема,Офис
